Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,AV,Team,Round,Pick
Josey Jewell,ILB,73,234,4.82,33,18,117,6.8,4.27,2018,0,Undrafted,-1,-1
Danny Johnson,CB,70,185,4.44,35,15,123,-1,-1,2018,0,Undrafted,-1,-1
Kerryon Johnson,RB,71,213,-1,40,11,126,7.07,4.29,2018,0,Undrafted,-1,-1
Taron Johnson,CB,72,180,4.5,33,17,118,7.03,4.28,2018,0,Undrafted,-1,-1
Chris Jones-04,CB,72,195,4.57,-1,14,-1,-1,-1,2018,0,Undrafted,-1,-1
Jamarco Jones,OT,76,299,5.5,24,-1,102,8.32,4.99,2018,0,Undrafted,-1,-1
Justin Jones,DT,74,309,5.09,29,24,104,7.82,4.74,2018,0,Undrafted,-1,-1
Ronald Jones,RB,71,205,4.65,36.5,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Sam Jones,G,77,305,5.32,27,28,101,7.92,4.86,2018,0,Undrafted,-1,-1
Jaryd Jones-Smith,OT,78,317,5.22,27,16,109,8.1,4.94,2018,0,Undrafted,-1,-1
Michael Joseph,CB,73,181,-1,34,17,-1,6.89,4.2,2018,0,Undrafted,-1,-1
Peter Kalambayi,EDGE,75,252,4.57,34,19,121,7.13,4.36,2018,0,Undrafted,-1,-1
Joshua Kalu,S,73,195,4.58,41.5,17,134,-1,-1,2018,0,Undrafted,-1,-1
John Kelly,RB,70,216,-1,35,15,120,7.13,4.51,2018,0,Undrafted,-1,-1
Kameron Kelly,S,74,200,4.66,33,9,120,6.94,4.28,2018,0,Undrafted,-1,-1
Arden Key,EDGE,78,238,-1,31,-1,117,7.16,4.25,2018,0,Undrafted,-1,-1
Jamarcus King,CB,73,186,4.7,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Christian Kirk,WR,70,201,4.47,35.5,20,115,7.09,4.45,2018,0,Undrafted,-1,-1
Micah Kiser,ILB,74,238,4.66,35.5,-1,121,7.05,4.24,2018,0,Undrafted,-1,-1
Chris Lacy,WR,75,205,4.51,33.5,11,120,-1,-1,2018,0,Undrafted,-1,-1
Harold Landry,EDGE,75,252,4.64,36,24,119,6.88,4.19,2018,0,Undrafted,-1,-1
Jordan Lasley,WR,73,203,4.5,34.5,8,112,-1,4.19,2018,0,Undrafted,-1,-1
Kyle Lauletta,QB,75,222,4.81,31,-1,113,6.95,4.07,2018,0,Undrafted,-1,-1
Allen Lazard,WR,77,227,4.55,38,17,122,-1,-1,2018,0,Undrafted,-1,-1
Tanner Lee,QB,76,218,4.98,32,-1,115,7,4.41,2018,0,Undrafted,-1,-1
Darius Leonard,OLB,74,234,4.7,-1,17,-1,-1,-1,2018,0,Undrafted,-1,-1
Rick Leonard,OT,79,311,-1,-1,19,-1,-1,-1,2018,0,Undrafted,-1,-1
Tyquan Lewis,EDGE,75,265,-1,35.5,-1,122,-1,-1,2018,0,Undrafted,-1,-1
Chase Litton,QB,77,230,4.9,29.5,-1,106,7.49,4.53,2018,0,Undrafted,-1,-1
James Looney,DE,75,287,4.89,35.5,28,113,7.32,4.37,2018,0,Undrafted,-1,-1
Lowell Lotulelei,DT,74,315,-1,-1,28,-1,-1,-1,2018,0,Undrafted,-1,-1
Avonte Maddox,CB,69,180,4.39,37,13,125,6.51,4,2018,0,Undrafted,-1,-1
Cole Madison,OL,77,308,5.33,28.5,26,97,7.86,4.88,2018,0,Undrafted,-1,-1
K.J. Malone,G,76,303,5.34,29.5,15,103,-1,-1,2018,0,Undrafted,-1,-1
Tavares Martin,WR,73,177,4.8,31.5,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Hercules Mata'afa,EDGE,73,254,4.76,31.5,26,108,7.24,4.37,2018,0,Undrafted,-1,-1
Baker Mayfield,QB,73,215,4.84,29,-1,111,7,4.28,2018,0,Undrafted,-1,-1
Ray-ray McCloud,WR,69,190,4.53,34.5,13,113,-1,-1,2018,0,Undrafted,-1,-1
Mike McCray,ILB,76,243,4.76,31.5,16,119,7.09,4.25,2018,0,Undrafted,-1,-1
Kc McDermott,G,78,311,5.35,23.5,26,97,7.72,4.82,2018,0,Undrafted,-1,-1
Tarvarus McFadden,CB,74,198,4.67,38.5,-1,121,-1,-1,2018,0,Undrafted,-1,-1
Mike McGlinchey,OT,80,309,-1,28.5,24,105,-1,-1,2018,0,Undrafted,-1,-1
R.J. McIntosh,DT,76,286,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Kahlil McKenzie,DT,77,314,5.15,29.5,26,105,7.94,4.68,2018,0,Undrafted,-1,-1
Quenton Meeks,DB,74,205,-1,39,11,128,6.72,4.23,2018,0,Undrafted,-1,-1
Sony Michel,RB,71,214,4.54,-1,22,-1,-1,4.21,2018,0,Undrafted,-1,-1
Anthony Miller,WR,71,201,-1,-1,22,-1,-1,-1,2018,0,Undrafted,-1,-1
Kolton Miller,OT,81,309,4.95,31.5,24,121,7.34,4.49,2018,0,Undrafted,-1,-1
Steven Mitchell,WR,70,189,4.56,32.5,13,121,6.75,4.4,2018,0,Undrafted,-1,-1
D.J. Moore-02,WR,72,210,4.42,39.5,15,132,6.95,4.07,2018,0,Undrafted,-1,-1
Jmon Moore,WR,75,207,4.6,38,21,120,6.56,4.04,2018,0,Undrafted,-1,-1
Kamrin Moore,CB,71,200,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Skai Moore,OLB,74,226,4.73,36,-1,117,-1,-1,2018,0,Undrafted,-1,-1
Ryan Nall,RB,74,232,4.58,33,15,122,6.95,4.16,2018,0,Undrafted,-1,-1
Siran Neal,S,72,199,4.56,40.5,17,122,7,4.28,2018,0,Undrafted,-1,-1
Nick Nelson,CB,71,208,4.52,-1,17,123,-1,-1,2018,0,Undrafted,-1,-1
Quenton Nelson,G,77,325,-1,26.5,35,105,7.65,4.62,2018,0,Undrafted,-1,-1
Bilal Nichols,DT,76,306,4.95,-1,29,-1,-1,-1,2018,0,Undrafted,-1,-1
Parry Nickerson,CB,72,180,4.32,-1,15,-1,-1,-1,2018,0,Undrafted,-1,-1
Derrick Nnadi,DT,73,317,5.38,27,25,96,8.15,5.02,2018,0,Undrafted,-1,-1
Kendrick Norton,DT,75,314,5.25,-1,30,-1,-1,-1,2018,0,Undrafted,-1,-1
Joseph Noteboom,OT,77,309,4.96,24,27,102,7.65,4.44,2018,0,Undrafted,-1,-1
Uchenna Nwosu,EDGE,75,251,4.65,32,20,119,-1,-1,2018,0,Undrafted,-1,-1
Dorian O'daniel,OLB,73,223,4.61,32,21,119,6.64,4.07,2018,0,Undrafted,-1,-1
Brian O'neill,OT,79,297,4.82,29.5,22,107,7.14,4.5,2018,0,Undrafted,-1,-1
Chukwuma Okorafor,OT,78,320,5.31,23.5,19,102,7.87,4.8,2018,0,Undrafted,-1,-1
Ogbonnia Okoronkwo,EDGE,73,253,4.77,38,27,121,-1,-1,2018,0,Undrafted,-1,-1
Isaiah Oliver,CB,73,190,4.5,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Brandon Parker,OT,80,305,5.4,28.5,-1,113,7.82,4.68,2018,0,Undrafted,-1,-1
Timon Parris,OT,78,312,-1,-1,27,-1,-1,-1,2018,0,Undrafted,-1,-1
Daron Payne,DT,74,311,4.95,28.5,27,107,7.58,4.71,2018,0,Undrafted,-1,-1
Rashaad Penny,RB,71,220,4.46,32.5,13,120,-1,-1,2018,0,Undrafted,-1,-1
Kamryn Pettway,RB,72,233,4.74,33.5,22,116,-1,-1,2018,0,Undrafted,-1,-1
Cam Phillips,WR,72,201,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Darius Phillips,CB,70,190,4.54,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Harrison Phillips,DT,76,307,5.21,32,42,103,7.28,4.5,2018,0,Undrafted,-1,-1
Skyler Phillips,G,75,318,5.1,29,-1,104,7.95,4.69,2018,0,Undrafted,-1,-1
Eddy Pineiro,K,72,185,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Billy Price,C,76,305,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Byron Pringle,WR,73,203,4.46,33.5,15,120,6.87,4.4,2018,0,Undrafted,-1,-1
Jacob Pugh,OLB,76,246,4.65,38.5,-1,122,-1,-1,2018,0,Undrafted,-1,-1
Scott Quessenberry,C,76,310,5.09,33.5,25,111,7.5,4.69,2018,0,Undrafted,-1,-1
Trey Quinn,WR,71,203,4.55,33.5,17,116,6.91,4.19,2018,0,Undrafted,-1,-1
Frank Ragnow,C,77,312,-1,-1,26,-1,-1,-1,2018,0,Undrafted,-1,-1
Martinas Rankin,OL,76,308,-1,-1,24,-1,-1,-1,2018,0,Undrafted,-1,-1
Max Redfield,S,73,205,4.69,-1,15,-1,-1,-1,2018,0,Undrafted,-1,-1
D.J. Reed,CB,69,188,4.51,36.5,11,-1,-1,-1,2018,0,Undrafted,-1,-1
Justin Reid,S,73,204,4.4,36.5,16,128,6.65,4.15,2018,0,Undrafted,-1,-1
Demario Richard,RB,69,218,4.7,29.5,12,115,-1,-1,2018,0,Undrafted,-1,-1
Will Richardson,OT,78,306,5.26,31.5,-1,108,7.8,4.83,2018,0,Undrafted,-1,-1
Calvin Ridley,WR,72,189,4.43,31,15,110,6.88,4.41,2018,0,Undrafted,-1,-1
Stephen Roberts,S,71,189,4.53,34,-1,121,-1,-1,2018,0,Undrafted,-1,-1
Korey Robertson,WR,73,212,4.56,34,13,123,-1,-1,2018,0,Undrafted,-1,-1
Javon Rolland-Jones,EDGE,74,253,4.88,-1,23,-1,-1,-1,2018,0,Undrafted,-1,-1
Josh Rosen,QB,76,226,4.92,31,-1,111,7.09,4.28,2018,0,Undrafted,-1,-1
Olubunmi Rotimi,DE,76,273,-1,32,21,113,7.46,4.7,2018,0,Undrafted,-1,-1
Mason Rudolph,QB,77,235,4.9,26,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Christian Sam,ILB,74,244,4.75,32,28,114,7.03,4.25,2018,0,Undrafted,-1,-1
Jaylen Samuels,TE,71,225,4.54,34.5,18,121,6.93,4.28,2018,0,Undrafted,-1,-1
Dominick Sanders,S,72,193,-1,-1,14,-1,-1,-1,2018,0,Undrafted,-1,-1
Tegray Scales,ILB,72,230,4.77,-1,27,-1,-1,-1,2018,0,Undrafted,-1,-1
Bo Scarbrough,RB,73,228,4.52,40,14,129,-1,4.34,2018,0,Undrafted,-1,-1
Dalton Schultz,TE,77,244,4.75,32,15,120,7,4.4,2018,0,Undrafted,-1,-1
Jaleel Scott,WR,77,218,4.56,34.5,16,124,7.2,4.4,2018,0,Undrafted,-1,-1
Jk Scott,P,78,208,4.83,30.5,-1,114,7.28,4.41,2018,0,Undrafted,-1,-1
Deadrin Senat,DT,72,314,5.16,26,35,100,7.77,4.79,2018,0,Undrafted,-1,-1
Greg Senat,OT,78,302,5.38,26,19,106,7.41,4.71,2018,0,Undrafted,-1,-1
Tim Settle,DT,75,329,5.37,23.5,-1,96,7.95,4.83,2018,0,Undrafted,-1,-1
Coleman Shelton,C,75,292,5.24,26.5,-1,110,7.62,4.59,2018,0,Undrafted,-1,-1
Nathan Shepherd,DT,77,315,5.09,31,-1,112,7.5,4.53,2018,0,Undrafted,-1,-1
Nic Shimonek,QB,75,220,4.88,28.5,-1,101,7.28,4.32,2018,0,Undrafted,-1,-1
Andre Smith-02,ILB,72,237,4.63,-1,19,-1,-1,-1,2018,0,Undrafted,-1,-1
