Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,AV,Team,Round,Pick
Nathan Shepherd,DT,77,315,5.09,31,,112,7.5,4.53,2018,0,,,
Nic Shimonek,QB,75,220,4.88,28.5,,101,7.28,4.32,2018,0,,,
Andre Smith-02,ILB,72,237,4.63,,19,,,,2018,0,,,
Braden Smith,G,78,315,5.22,33.5,35,113,,4.77,2018,0,,,
Roquan Smith,OLB,73,236,4.51,,,,,,2018,0,,,
Trequan Smith,WR,74,203,4.49,37.5,12,130,6.97,4.5,2018,0,,,
Van Smith,S,71,185,4.61,29.5,,,,,2018,0,,,
Durham Smythe,TE,77,253,4.81,31,18,110,7.17,4.23,2018,0,,,
Breeland Speaks,DT,75,283,4.87,32.5,,110,7.63,4.65,2018,0,,,
Taylor Stallworth,DT,74,312,5.28,23.5,18,101,7.95,4.75,2018,0,,,
M.J. Stewart,CB,71,200,4.54,35,18,118,6.9,4.28,2018,0,,,
Kentavius Street,DE,74,280,4.87,,28,,,,2018,0,,,
Greg Stroman,CB,72,180,4.48,33.5,16,113,,4.45,2018,0,,,
Chandon Sullivan,CB,71,195,4.6,40.5,15,134,,4.36,2018,0,,,
Courtland Sutton,WR,75,218,4.54,35.5,18,124,6.57,4.11,2018,0,,,
Josh Sweat,EDGE,76,251,4.53,39.5,,124,,4.28,2018,0,,,
Auden Tate,WR,77,228,4.68,31,,112,,,2018,0,,,
Rod Taylor,OT,75,320,5.24,30.5,,99,,,2018,0,,,
Wyatt Teller,G,76,314,5.24,29,30,114,7.45,4.84,2018,0,,,
Chad Thomas,DE,78,281,4.92,29,,116,,,2018,0,,,
Ian Thomas,TE,76,259,4.74,36,,123,7.15,4.2,2018,0,,,
Jordan Thomas-01,CB,72,186,4.64,38,4,124,6.28,3.94,2018,0,,,
Jordan Thomas-02,TE,77,265,4.74,27,16,111,7.5,4.75,2018,0,,,
Matthew Thomas,OLB,75,232,4.58,41.5,,131,6.85,4.28,2018,0,,,
Roc Thomas,RB,70,198,4.56,35.5,16,125,,,2018,0,,,
Trenton Thompson,DT,76,288,5.06,32.5,,111,7.68,4.56,2018,0,,,
Henre Toliver,CB,73,185,4.63,32.5,6,117,7.01,4.15,2018,0,,,
Kevin Toliver,CB,75,204,,33,10,120,,,2018,0,,,
Brett Toth,OT,78,291,,,,,,,2018,0,,,
Johnny Townsend,P,73,210,,,,,,,2018,0,,,
Shane Tripucka,P,75,211,,,,,,,2018,0,,,
Salesi Uhatafe,G,77,310,5.4,28,,109,7.7,4.9,2018,0,,,
Marquez Valdes-Scantling,WR,76,206,4.37,30.5,15,124,,,2018,0,,,
Vita Vea,DT,76,347,5.1,,41,,,,2018,0,,,
Azeem Victor,ILB,73,240,4.72,32.5,19,115,7.2,4.4,2018,0,,,
Dmontre Wade,CB,72,200,4.57,35.5,15,120,,4.4,2018,0,,,
Akrum Wadley,RB,70,194,4.54,32,12,,,,2018,0,,,
Trey Walker,S,74,200,4.51,33,14,119,7,4.28,2018,0,,,
Levi Wallace,CB,72,183,4.63,33,,,,,2018,0,,,
Mark Walton,RB,70,202,4.6,31.5,18,118,,,2018,0,,,
Denzel Ward,CB,70,191,4.32,39,16,136,,,2018,0,,,
Fred Warner,OLB,75,236,4.64,38.5,21,119,6.9,4.28,2018,0,,,
Chris Warren,RB,74,247,4.69,33,25,121,6.98,4.18,2018,0,,,
James Washington,WR,71,213,4.54,34.5,14,120,7.11,4.32,2018,0,,,
Armani Watts,S,71,205,,35,13,120,7.25,4.37,2018,0,,,
Jester Weah,WR,74,211,4.43,38,15,129,7.24,4.41,2018,0,,,
Toby Weathersby,OT,76,317,5.34,24.5,28,106,8.55,5.38,2018,0,,,
Damon Webb,S,71,195,4.62,,17,,,,2018,0,,,
David Wells,TE,78,256,4.75,33,20,116,7.5,4.59,2018,0,,,
Sean Welsh,C,75,306,5.43,25,20,103,7.9,4.81,2018,0,,,
Karaun White,WR,73,206,4.52,33.5,24,118,7.16,4.57,2018,0,,,
Kyzir White,S,74,216,,35.5,21,113,,,2018,0,,,
Mike White,QB,77,224,5.09,27,,96,7.4,4.4,2018,0,,,
Jordan Whitehead,S,71,195,,,21,,,,2018,0,,,
Jojo Wicker,DE,75,296,5.16,30,25,105,,,2018,0,,,
Jake Wieneke,WR,76,221,4.67,34,9,114,7.24,4.37,2018,0,,,
Jordan Wilkins,RB,73,216,,36,16,117,,4.27,2018,0,,,
Connor Williams,OT,77,296,5.05,34,26,112,7.83,4.63,2018,0,,,
Darrel Williams,RB,72,225,4.72,32,22,109,,4.21,2018,0,,,
Cedrick Wilson-02,WR,74,197,4.55,37,9,121,6.89,4.23,2018,0,,,
Eddy Wilson,DT,76,301,5.37,,26,96,,,2018,0,,,
Jeff Wilson,RB,71,210,,,15,,,,2018,0,,,
Javon Wims,WR,75,215,4.53,33.5,,113,7,,2018,0,,,
Anthony Winbush,EDGE,73,249,,,25,110,,,2018,0,,,
Ryan Winslow,P,77,217,,,,,,,2018,0,,,
Logan Woodside,QB,73,213,4.79,31.5,,103,6.94,4.15,2018,0,,,
Chris Worley,ILB,74,238,4.86,29.5,15,,,,2018,0,,,
Isaiah Wynn,G,75,313,,,,,,,2018,0,,,
Isaac Yiadom,CB,73,190,4.52,,8,120,,4.18,2018,0,,,
Kenny Young,ILB,73,236,4.6,36,23,117,7.38,4.48,2018,0,,,
Trevon Young,EDGE,76,258,4.78,33,25,114,6.99,4.4,2018,0,,,
